"Indicator","PUBLISH STATES","Year","Age Group","Sex","Region","Causes","Display Value","Numeric","Low","High","Comments"
"Deaths per 100 000 population","Published","2012","70+  years","Male","High-income","Mouth and oropharynx cancers","29.8","29.81010","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","High-income","Acute hepatitis C","1.4","1.37840","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","High-income","Rabies","0.0","0.01984","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","High-income","Upper respiratory infections","0.1","0.07790","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","High-income","Alcohol use disorders","17.6","17.58004","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","High-income","Onchocerciasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","High-income","Prostate cancer","11.8","11.84445","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","High-income","Neonatal conditions","2.6","2.60859","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Ovary cancer","22.2","22.24410","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","High-income","Syphilis","0.0","0.03911","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","Oesophagus cancer","2.6","2.62115","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","High-income","Tetanus","0.0","0.00135","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","High-income","other sense organ disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","High-income","Mental and behavioral disorders","18.9","18.86452","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","Other congenital anomalies","1.4","1.42161","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Other unintentional injuries","9.4","9.37917","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Gonorrhoea","0.0","0.00284","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","High-income","Cardiovascular diseases","325.8","325.83441","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","High-income","Stroke","5.8","5.82999","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","High-income","Multiple sclerosis","0.4","0.36144","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","High-income","Breast cancer","68.7","68.69506","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","High-income","Liver cancer","7.2","7.19089","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","High-income","Drowning","7.5","7.53306","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","High-income","Melanoma and other skin cancers","5.1","5.13607","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","High-income","Whooping cough","0.0","0.00862","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","High-income","Tuberculosis","1.3","1.28269","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","High-income","Poisonings","3.0","3.00418","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","High-income","Self-harm","14.2","14.15354","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","High-income","Protein-energy malnutrition","0.1","0.05528","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","High-income","Preterm birth complications","3.2","3.16787","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","High-income","Unintentional injuries","15.7","15.70560","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","High-income","Asthma","0.2","0.24393","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","High-income","STDs excluding HIV","0.0","0.02970","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","High-income","Osteoarthritis","0.1","0.12900","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","High-income","Macular degeneration","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","High-income","Alcohol use disorders","0.2","0.18795","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","High-income","Pervasive developmental disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","High-income","Glaucoma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","High-income","Iron-deficiency anaemia","0.0","0.01426","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","High-income","Peptic ulcer disease","26.2","26.23446","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","High-income","Trichomoniasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","High-income","Birth asphyxia and birth trauma","0.8","0.80299","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","High-income","Schizophrenia","0.2","0.21056","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","High-income","Upper respiratory infections","0.0","0.00565","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","High-income","Hyperplasia of prostate","3.7","3.65015","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","High-income","Appendicitis","0.2","0.15122","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","High-income","Birth asphyxia and birth trauma","0.0","0.00159","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","High-income","Skin diseases","0.1","0.07559","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","High-income","Pancreas cancer","11.3","11.33876","","",""
