"Indicator","PUBLISH STATES","Year","Age Group","Sex","Region","Causes","Display Value","Numeric","Low","High","Comments"
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Rheumatoid arthritis","0.4","0.37662","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Low-income","Trichomoniasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Low-income","Other circulatory diseases","36.9","36.93230","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Low-income","Other neonatal conditions","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Low-income","Congenital anomalies","0.8","0.76482","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Low-income","Injuries","62.0","62.04889","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Low-income","All Causes","285.2","285.22330","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Low-income","Collective violence and legal intervention","3.4","3.40778","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Low-income","Idiopathic intellectual disability","0.0","0.00400","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Low-income","Endocrine, blood, immune disorders","9.8","9.80505","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Low-income","Hookworm disease","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Low-income","Preterm birth complications","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Low-income","Intentional injuries","56.8","56.78263","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Low-income","Cardiomyopathy, myocarditis, endocarditis","1.2","1.15179","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Low-income","Ischaemic heart disease","5.4","5.38871","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Low-income","Lymphomas, multiple myeloma","10.7","10.71655","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Low-income","Trichuriasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Low-income","Lymphomas, multiple myeloma","2.5","2.46189","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Low-income","Colon and rectum cancers","9.7","9.66077","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Low-income","Ischaemic heart disease","213.9","213.90140","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Low-income","Communicable & other Group I","195.4","195.36121","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Low-income","Refractive errors","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Low-income","Schizophrenia","5.1","5.06912","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Low-income","Prostate cancer","24.4","24.37803","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Low-income","Pancreas cancer","11.3","11.30200","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Low-income","Dengue","0.2","0.19718","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Low-income","Dental caries","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Low-income","Measles","4.3","4.25799","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Trypanosomiasis","4.8","4.80354","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Low-income","Ovary cancer","15.7","15.69734","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Low-income","Trypanosomiasis","1.9","1.86666","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Low-income","Leprosy","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","Low-income","Alzheimer's disease and other dementias","0.6","0.60206","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","Low-income","Tetanus","0.4","0.39987","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Low-income","Liver cancer","24.1","24.07905","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Low-income","Childhood behavioural disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","Low-income","Mouth and oropharynx cancers","0.1","0.09029","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Neonatal sepsis and infections","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Low-income","Malignant neoplasms","554.8","554.78387","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Low-income","Colon and rectum cancers","9.7","9.65635","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Low-income","Bipolar disorder","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Low-income","Gout","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Low-income","Bladder cancer","0.6","0.61170","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Low-income","Tuberculosis","34.0","34.01813","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Low-income","Vitamin A deficiency","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Low-income","Onchocerciasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Low-income","Fire, heat and hot substances","12.1","12.05598","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Low-income","Other vision loss","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Low-income","Measles","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Low-income","Gynecological diseases","0.2","0.15199","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Low-income","Leishmaniasis","1.5","1.51032","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Low-income","Infectious and parasitic diseases","126.3","126.25840","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Low-income","Corpus uteri cancer","0.0","0.04385","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Low-income","Drowning","13.9","13.88768","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Low-income","Unipolar depressive disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Low-income","Neonatal conditions","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Low-income","Congenital heart anomalies","1.6","1.57554","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Low-income","Other nutritional deficiencies","0.4","0.35524","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","Low-income","Acute hepatitis C","0.6","0.61469","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Low-income","Other respiratory diseases","3.7","3.69400","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Falls","1.8","1.75717","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Low-income","Cleft lip and cleft palate","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Melanoma and other skin cancers","0.1","0.09917","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Low-income","Injuries","394.4","394.43149","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Low-income","Cardiomyopathy, myocarditis, endocarditis","4.4","4.43909","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Low-income","Skin diseases","1.7","1.71383","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Upper respiratory infections","0.0","0.02229","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Low-income","Diabetes mellitus","6.0","6.01363","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Low-income","Trachoma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Low-income","Hyperplasia of prostate","0.1","0.13473","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Low-income","Acute hepatitis B","0.2","0.20969","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Low-income","Preterm birth complications","54.6","54.61720","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Low-income","Neural tube defects","0.1","0.09219","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Low-income","Lymphatic filariasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Low-income","Other hearing loss","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Low-income","Collective violence and legal intervention","5.0","4.95176","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Low-income","Appendicitis","0.8","0.79777","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","Low-income","Chlamydia","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Low-income","Ovary cancer","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Low-income","Neonatal conditions","108.1","108.06640","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","Low-income","Onchocerciasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Low-income","Congenital heart anomalies","11.2","11.19565","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","Low-income","Diarrhoeal diseases","52.7","52.68773","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Low-income","Anxiety disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Low-income","Non-migraine headache","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Low-income","Leukaemia","8.2","8.20942","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Low-income","Dental caries","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Low-income","Gynecological diseases","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Low-income","other sense organ disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Low-income","Childhood-cluster diseases","29.2","29.20839","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Low-income","Preterm birth complications","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Low-income","Mental and behavioral disorders","1.7","1.72608","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Low-income","Melanoma and other skin cancers","0.4","0.43376","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Low-income","Other congenital anomalies","0.4","0.36225","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Low-income","Upper respiratory infections","0.0","0.03109","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Low-income","Refractive errors","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Low-income","Cardiovascular diseases","55.4","55.39600","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Low-income","Oesophagus cancer","45.0","44.95645","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Low-income","Drowning","4.5","4.45062","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Low-income","Schizophrenia","1.1","1.06573","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Low-income","Self-harm","7.2","7.19528","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Low-income","Epilepsy","31.7","31.70595","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Low-income","Intestinal nematode infections","0.1","0.07018","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Low-income","Gynecological diseases","0.3","0.34885","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Low-income","Breast cancer","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Low-income","Multiple sclerosis","0.1","0.13164","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Low-income","Mental and behavioral disorders","3.2","3.15000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Low-income","Bladder cancer","0.7","0.68317","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Low-income","Acute hepatitis B","11.5","11.53888","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Low-income","Ovary cancer","0.0","0.00096","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Digestive diseases","7.7","7.72510","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Low-income","other sense organ disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Low-income","Congenital heart anomalies","4.3","4.26964","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Low-income","Exposure to forces of nature","0.4","0.43288","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Low-income","Refractive errors","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Low-income","Cardiovascular diseases","9.2","9.24761","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Low-income","Road injury","7.9","7.87410","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Low-income","Vitamin A deficiency","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Low-income","Dental caries","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","Low-income","Macular degeneration","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","Low-income","Nutritional deficiencies","25.6","25.61496","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Low-income","Iron-deficiency anaemia","3.1","3.13918","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Low-income","Trachoma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Low-income","Migraine","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Low-income","Infectious and parasitic diseases","1442.9","1442.93103","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Low-income","Intestinal nematode infections","0.0","0.01755","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Low-income","Melanoma and other skin cancers","4.4","4.35438","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Low-income","Sense organ diseases","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Low-income","Schizophrenia","0.4","0.43779","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Low-income","Communicable & other Group I","2617.3","2617.34912","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Low-income","Prostate cancer","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Low-income","Peptic ulcer disease","3.1","3.07465","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","Low-income","Infertility","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Low-income","Oesophagus cancer","4.7","4.73062","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Low-income","Rheumatic heart disease","75.1","75.06003","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Low-income","Other neonatal conditions","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Back and neck pain","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Self-harm","11.1","11.09794","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Low-income","Lower respiratory infections","97.0","96.98691","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Low-income","Childhood-cluster diseases","1.7","1.66539","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Low-income","Diphtheria","0.0","0.01399","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Low-income","Tuberculosis","20.7","20.68871","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Low-income","Pervasive developmental disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Low-income","Birth asphyxia and birth trauma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Low-income","Other digestive diseases","52.5","52.51044","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Low-income","Iron-deficiency anaemia","3.7","3.69753","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Low-income","Mouth and oropharynx cancers","5.1","5.10685","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Low-income","STDs excluding HIV","0.5","0.50861","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Low-income","Trichomoniasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Low-income","Alcohol use disorders","1.8","1.78399","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Low-income","Pancreas cancer","0.6","0.60937","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Low-income","Communicable & other Group I","165.6","165.60370","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Low-income","Cardiomyopathy, myocarditis, endocarditis","15.0","15.02460","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Low-income","Periodontal disease","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Low-income","Chagas disease","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Low-income","Macular degeneration","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Low-income","All Causes","557.5","557.50787","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Low-income","Respiratory diseases","43.9","43.86773","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Low-income","Ischaemic heart disease","1.2","1.20018","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Other malignant neoplasms","3.2","3.17450","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Protein-energy malnutrition","12.8","12.82057","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Low-income","Other neoplasms","7.6","7.60737","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Low-income","Glaucoma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Low-income","Gout","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Low-income","Neural tube defects","0.2","0.16021","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Low-income","Other mental and behavioural disorders","1.8","1.77893","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Low-income","Diarrhoeal diseases","32.0","32.01519","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Low-income","Cataracts","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Rabies","1.5","1.49310","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Low-income","Hypertensive heart disease","43.8","43.79868","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Low-income","Intestinal nematode infections","0.0","0.01114","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Low-income","Childhood-cluster diseases","12.0","11.98994","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","Low-income","Childhood-cluster diseases","0.6","0.64417","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Low-income","Cleft lip and cleft palate","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Low-income","Other circulatory diseases","1.0","0.99698","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Low-income","Stroke","106.6","106.60880","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Low-income","Meningitis","7.1","7.14531","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Low-income","other sense organ disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","Low-income","Self-harm","22.3","22.32264","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Low-income","Other neurological conditions","6.8","6.77037","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Low-income","All Causes","904.2","904.24408","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Low-income","Neurological conditions","8.0","7.96364","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Low-income","Other congenital anomalies","6.5","6.52186","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Low-income","Intentional injuries","16.9","16.94375","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Low-income","Other mental and behavioural disorders","0.3","0.26668","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Low-income","Other malignant neoplasms","11.2","11.24374","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Low-income","Respiratory diseases","3.5","3.51235","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Low-income","Iodine deficiency","0.2","0.18152","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Low-income","Neural tube defects","0.2","0.20442","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Low-income","Other digestive diseases","4.7","4.66975","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Low-income","Sense organ diseases","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Low-income","Fire, heat and hot substances","7.2","7.20295","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Low-income","Trichomoniasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Low-income","Nutritional deficiencies","44.8","44.76359","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Low-income","Other genitourinary diseases","57.0","57.00210","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Low-income","Musculoskeletal diseases","0.7","0.70678","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Low-income","Other infectious diseases","36.8","36.78653","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Low-income","Encephalitis","2.1","2.11560","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Low-income","Otitis media","0.1","0.07949","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Low-income","Alcohol use disorders","0.2","0.23787","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Low-income","Whooping cough","4.3","4.32729","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Low-income","HIV/AIDS","351.1","351.14389","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Low-income","Road injury","10.5","10.50368","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Low-income","Schistosomiasis","1.4","1.37011","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Low-income","Other musculoskeletal disorders","0.7","0.66093","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Low-income","Falls","28.1","28.12873","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Low-income","Lymphatic filariasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Low-income","Hyperplasia of prostate","0.0","0.00309","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Low-income","Hookworm disease","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Low-income","Unintentional injuries","139.4","139.39650","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Low-income","Other musculoskeletal disorders","16.3","16.31025","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Low-income","Lower respiratory infections","145.1","145.12160","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Low-income","Cardiomyopathy, myocarditis, endocarditis","5.1","5.11981","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Low-income","Diphtheria","0.0","0.02860","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Low-income","Ascariasis","0.0","0.01144","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Low-income","Oesophagus cancer","18.5","18.52326","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Low-income","All Causes","1253.7","1253.68103","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Low-income","Other genitourinary diseases","0.6","0.64419","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Congenital heart anomalies","0.8","0.82009","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Low-income","Sense organ diseases","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Low-income","Edentulism","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Low-income","Diphtheria","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Low-income","Trachea, bronchus, lung cancers","5.3","5.33131","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Low-income","Leishmaniasis","2.6","2.56965","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Low-income","Gonorrhoea","0.0","0.01820","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Low-income","Genitourinary diseases","30.1","30.10245","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","Low-income","Other congenital anomalies","3.9","3.86265","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Low-income","Pancreas cancer","4.0","4.03422","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Low-income","Iron-deficiency anaemia","2.7","2.71264","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Low-income","Lymphomas, multiple myeloma","0.4","0.44588","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Low-income","Dengue","0.9","0.91847","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Low-income","Cleft lip and cleft palate","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Low-income","Stroke","50.1","50.10989","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Low-income","Drowning","7.6","7.63776","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Low-income","Anxiety disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Low-income","Malaria","35.2","35.18473","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","Low-income","Idiopathic intellectual disability","0.0","0.00307","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Low-income","Diarrhoeal diseases","362.7","362.73679","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Low-income","Respiratory diseases","174.4","174.36600","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Low-income","Other genitourinary diseases","0.5","0.53707","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Low-income","Maternal conditions","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Low-income","Unipolar depressive disorders","0.0","0.00094","","",""
