"Indicator","PUBLISH STATES","Year","Age Group","Sex","Region","Causes","Display Value","Numeric","Low","High","Comments"
"Deaths per 100 000 population","Published","2000","70+  years","Male","Lower-middle-income","Stroke","1434.8","1434.80298","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Lower-middle-income","Diabetes mellitus","109.3","109.26710","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Lower-middle-income","Urolithiasis","0.3","0.31198","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Lower-middle-income","Cardiomyopathy, myocarditis, endocarditis","18.1","18.12052","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Lower-middle-income","Asthma","11.5","11.50696","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Lower-middle-income","Infertility","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Lower-middle-income","Whooping cough","1.5","1.46718","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Lower-middle-income","Genitourinary diseases","18.2","18.21717","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Lower-middle-income","Tuberculosis","11.0","11.03357","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Lower-middle-income","Macular degeneration","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Female","Lower-middle-income","Respiratory infections","522.4","522.39178","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Lower-middle-income","Poisonings","10.4","10.38660","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Lower-middle-income","Diphtheria","0.0","0.00918","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Lower-middle-income","Chagas disease","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Female","Lower-middle-income","Poisonings","4.8","4.84062","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Lower-middle-income","Noncommunicable diseases","2513.8","2513.75195","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Lower-middle-income","Pancreas cancer","0.7","0.66080","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Lower-middle-income","Respiratory diseases","1476.2","1476.22302","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Lower-middle-income","Pervasive developmental disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","Lower-middle-income","Malaria","2.2","2.15915","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Lower-middle-income","Iodine deficiency","0.0","0.04671","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Lower-middle-income","Protein-energy malnutrition","6.4","6.42376","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Lower-middle-income","Glaucoma","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Lower-middle-income","Injuries","464.3","464.30139","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Lower-middle-income","Back and neck pain","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Female","Lower-middle-income","Protein-energy malnutrition","1.7","1.67826","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Lower-middle-income","Other hearing loss","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Lower-middle-income","Leishmaniasis","1.4","1.40226","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Lower-middle-income","Childhood-cluster diseases","6.4","6.42465","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","Lower-middle-income","Liver cancer","4.9","4.92246","","",""
"Deaths per 100 000 population","Published","2012","15-29  years","Male","Lower-middle-income","Cleft lip and cleft palate","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Lower-middle-income","Leishmaniasis","3.2","3.16809","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Lower-middle-income","Diphtheria","0.2","0.16267","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Lower-middle-income","Other neoplasms","1.4","1.40740","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Lower-middle-income","Other congenital anomalies","0.2","0.16145","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Lower-middle-income","Gout","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Lower-middle-income","Sense organ diseases","0.0","0.01708","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Lower-middle-income","Corpus uteri cancer","1.2","1.21598","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Lower-middle-income","Onchocerciasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Lower-middle-income","Parkinson's disease","0.0","0.03210","","",""
