"Indicator","PUBLISH STATES","Year","Age Group","Sex","Region","Causes","Display Value","Numeric","Low","High","Comments"
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Upper-middle-income","Other mental and behavioural disorders","0.2","0.15830","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Upper-middle-income","Breast cancer","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Upper-middle-income","Lower respiratory infections","30.3","30.25810","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Upper-middle-income","Other hearing loss","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Upper-middle-income","Measles","0.4","0.40965","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Upper-middle-income","Tuberculosis","18.0","18.00971","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Upper-middle-income","Meningitis","0.6","0.62021","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Upper-middle-income","Mouth and oropharynx cancers","4.8","4.83876","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Female","Upper-middle-income","Other respiratory diseases","4.0","4.04202","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","Upper-middle-income","Alcohol use disorders","1.2","1.18924","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","Upper-middle-income","Falls","6.7","6.66545","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Upper-middle-income","Parkinson's disease","12.0","12.04396","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Upper-middle-income","Other circulatory diseases","0.7","0.74298","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Upper-middle-income","Maternal conditions","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Upper-middle-income","Diabetes mellitus","0.1","0.13446","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Upper-middle-income","Falls","1.5","1.48401","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Upper-middle-income","Otitis media","0.0","0.00718","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Male","Upper-middle-income","Urolithiasis","1.7","1.66690","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","Upper-middle-income","Melanoma and other skin cancers","1.2","1.15812","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Both sexes","Upper-middle-income","Lower respiratory infections","23.0","22.98959","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Upper-middle-income","Endocrine, blood, immune disorders","1.0","1.04605","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Upper-middle-income","Schizophrenia","2.0","2.01126","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Upper-middle-income","Hyperplasia of prostate","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Upper-middle-income","Fire, heat and hot substances","7.5","7.49790","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","Upper-middle-income","Leukaemia","2.9","2.88445","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Upper-middle-income","Diarrhoeal diseases","3.7","3.74950","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Upper-middle-income","Whooping cough","0.0","0.00953","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Upper-middle-income","Measles","0.2","0.15248","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Upper-middle-income","Intestinal nematode infections","0.0","0.03190","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Upper-middle-income","Rheumatoid arthritis","0.3","0.25709","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Female","Upper-middle-income","Other unintentional injuries","1.9","1.88789","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Male","Upper-middle-income","Idiopathic intellectual disability","0.0","0.02415","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Male","Upper-middle-income","Osteoarthritis","0.0","0.00094","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Upper-middle-income","Epilepsy","1.2","1.17300","","",""
"Deaths per 100 000 population","Published","2012","5-14 years","Male","Upper-middle-income","Syphilis","0.1","0.06470","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Upper-middle-income","Liver cancer","3.8","3.79309","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Upper-middle-income","Noncommunicable diseases","7164.3","7164.31494","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","Upper-middle-income","Neural tube defects","0.0","0.03731","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Upper-middle-income","Schistosomiasis","3.1","3.05330","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Upper-middle-income","Gonorrhoea","0.1","0.08028","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Both sexes","Upper-middle-income","Hypertensive heart disease","19.9","19.91511","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Upper-middle-income","Appendicitis","0.2","0.15276","","",""
"Deaths per 100 000 population","Published","2000","70+  years","Male","Upper-middle-income","Trichomoniasis","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","50-59  years","Male","Upper-middle-income","Back and neck pain","0.0","0.02105","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Female","Upper-middle-income","Other circulatory diseases","248.6","248.58920","","",""
"Deaths per 100 000 population","Published","2012","50-59  years","Male","Upper-middle-income","Stomach cancer","33.1","33.13625","","",""
"Deaths per 100 000 population","Published","2012","60-69  years","Female","Upper-middle-income","Refractive errors","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Upper-middle-income","Leukaemia","26.1","26.11592","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Female","Upper-middle-income","Other neurological conditions","0.8","0.80367","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Upper-middle-income","Digestive diseases","18.7","18.74316","","",""
"Deaths per 100 000 population","Published","2000","60-69  years","Female","Upper-middle-income","Other digestive diseases","28.8","28.77899","","",""
"Deaths per 100 000 population","Published","2000","30-49 years","Female","Upper-middle-income","Genitourinary diseases","5.6","5.59635","","",""
"Deaths per 100 000 population","Published","2000","15-29  years","Male","Upper-middle-income","Mouth and oropharynx cancers","0.3","0.31803","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Male","Upper-middle-income","Hyperplasia of prostate","0.3","0.29036","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Male","Upper-middle-income","Birth asphyxia and birth trauma","0.0","0.00268","","",""
"Deaths per 100 000 population","Published","2012","70+  years","Male","Upper-middle-income","Congenital anomalies","3.8","3.79170","","",""
"Deaths per 100 000 population","Published","2012","All ages (total) years","Female","Upper-middle-income","Endocrine, blood, immune disorders","4.2","4.20803","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Male","Upper-middle-income","Pervasive developmental disorders","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Female","Upper-middle-income","Neurological conditions","10.6","10.62329","","",""
"Deaths per 100 000 population","Published","2000","5-14 years","Female","Upper-middle-income","Preterm birth complications","0.0","0.00000","","",""
"Deaths per 100 000 population","Published","2000","All ages (total) years","Male","Upper-middle-income","Injuries","81.3","81.32961","","",""
"Deaths per 100 000 population","Published","2012","30-49 years","Female","Upper-middle-income","Melanoma and other skin cancers","0.4","0.37357","","",""
